Dato + Tid,Volum,Globalstraling,Solskinstid,Lufttemperatur,Vindretning,Vindstyrke,Lufttrykk,Vindkast
2020-01-01,7.25,2.4743055555555555,0.0,6.572916666666667,160.19444444444443,5.203194444444445,1012.2527777777777,8.564583333333333
2020-01-02,42.208333333333336,0.1506944444444445,0.0,7.29375,159.06944444444443,8.733333333333333,995.7431944444444,14.44513888888889
2020-01-03,40.708333333333336,5.590555555555556,0.4041666666666666,3.884027777777778,290.15972222222223,5.08125,992.6090277777777,10.36111111111111
2020-01-04,11.916666666666666,9.545833333333334,2.1791666666666667,2.1819444444444445,262.86805555555554,3.5666666666666664,1009.3597222222223,6.476388888888889
2020-01-05,6.041666666666667,0.5645833333333333,0.0,5.240972222222222,151.13888888888889,4.989583333333333,1009.7284722222222,7.614583333333333
2020-01-06,52.458333333333336,1.3513888888888888,0.0,7.052083333333333,155.85416666666666,6.108333333333333,1001.7444444444444,9.921527777777778
2020-01-07,50.958333333333336,3.34375,0.0,7.0825,155.40972222222223,6.168749999999999,994.2923611111111,10.92847222222222
2020-01-08,52.458333333333336,6.472916666666666,0.08333333333333333,5.933333333333334,233.95138888888889,3.639583333333333,994.1863888888889,8.346527777777778
2020-01-09,56.458333333333336,4.698611111111112,0.0,3.4530555555555558,199.24722222222223,1.66875,1001.3819444444445,2.8249999999999997
2020-01-10,49.0,12.302777777777777,5.625,2.2777777777777777,181.54861111111111,2.5881944444444445,1007.7895833333333,4.220833333333333
2020-01-11,9.291666666666666,0.7402777777777777,0.0,6.446527777777778,161.06944444444443,5.3500000000000005,994.1506944444444,9.897222222222222
2020-01-12,13.625,7.934722222222223,0.0,5.204166666666667,198.55555555555554,2.4695833333333335,995.3465277777777,5.485416666666667
2020-01-13,67.375,4.909722222222222,0.012499999999999999,5.536111111111111,149.875,5.90625,993.2937499999999,10.377777777777778
2020-01-14,56.958333333333336,6.883888888888889,0.07083333333333333,4.934583333333333,147.84027777777777,5.402777777777778,976.1541666666667,9.602083333333333
2020-01-15,54.416666666666664,4.660972222222222,0.08333333333333333,5.585833333333333,146.66666666666666,5.106944444444444,980.4472222222222,9.160416666666666
2020-01-16,58.0,5.760972222222223,0.0,7.361111111111111,162.94444444444443,4.696527777777778,999.4327777777777,8.873611111111112
2020-01-17,54.625,8.024305555555555,0.0,7.579166666666667,157.93055555555557,4.804166666666666,996.4270833333334,8.2125
2020-01-18,14.666666666666666,5.376388888888889,0.0,5.101388888888889,230.54999999999998,2.9875000000000003,1002.0791666666668,5.476388888888889
2020-01-19,15.083333333333334,8.91,0.17916666666666667,4.250555555555556,187.7777777777778,3.4694444444444446,1025.5555555555554,5.689583333333334
2020-01-20,54.875,1.7654166666666666,0.0,6.927916666666666,152.90277777777777,4.391666666666667,1025.1794444444445,7.107638888888889
2020-01-21,62.416666666666664,7.034166666666667,0.0,5.79375,260.17361111111114,2.6680555555555556,1021.6868055555556,5.386805555555555
2020-01-22,62.666666666666664,18.249166666666667,8.75,3.9215277777777775,211.34166666666667,2.175,1024.08125,3.402083333333333
2020-01-23,56.083333333333336,2.140972222222222,0.0,6.51875,170.9125,2.823611111111111,1013.1604166666666,5.464583333333334
2020-01-24,48.625,12.833333333333334,1.575,4.0465277777777775,186.25,2.1277777777777778,1004.4604166666667,4.192361111111111
2020-01-25,13.458333333333334,4.6875,0.0,5.409722222222222,152.74583333333334,4.204861111111111,1001.4534722222223,6.795138888888888
2020-01-26,12.25,5.270833333333333,0.0,6.046666666666667,153.9375,4.779861111111111,995.2729166666667,8.355555555555556
2020-01-27,64.29166666666667,10.865694444444443,0.0,4.515972222222222,162.73194444444445,3.570138888888889,986.4090277777777,6.095833333333334
2020-01-28,64.16666666666667,17.167083333333334,0.0,4.28125,160.16805555555555,2.8444444444444446,980.2416666666667,4.872222222222223
2020-01-29,56.125,14.265972222222222,0.0,2.6902777777777778,151.33333333333334,2.421527777777778,981.5784722222223,3.7270833333333333
